Theta, Alpha, Low_beta, High_beta, Gamma
0.575630236,0.328195107,0.633227539,0.158905257,0.152627862
1.683607473,0.304446425,0.164064145,0.089831484,0.142506323
1.315950615,0.390527875,0.291673486,0.291751504,0.194494055
1.941649527,1.452007176,3.589084381,0.667270523,0.873740771
0.886892634,0.395808587,0.756253187,0.176337442,0.203298466
0.575630236,0.328195107,0.633227539,0.158905257,0.152627862
1.683607473,0.304446425,0.164064145,0.089831484,0.142506323
1.315950615,0.390527875,0.291673486,0.291751504,0.194494055
1.941649527,1.452007176,3.589084381,0.667270523,0.873740771
0.886892634,0.395808587,0.756253187,0.176337442,0.203298466
0.575630236,0.328195107,0.633227539,0.158905257,0.152627862
1.683607473,0.304446425,0.164064145,0.089831484,0.142506323
1.315950615,0.390527875,0.291673486,0.291751504,0.194494055
1.941649527,1.452007176,3.589084381,0.667270523,0.873740771
0.886892634,0.395808587,0.756253187,0.176337442,0.203298466
0.522619015,0.462434138,0.41357671,0.195065375,0.173082817
2.262812713,0.164197588,0.223135498,0.101157939,0.137979017
0.536798009,0.155831933,0.362409218,0.289320039,0.216443288
2.34348897,1.351852122,2.949861695,1.244980621,1.022789103
0.483556404,0.312463464,0.499157612,0.276851643,0.215668878
0.522619015,0.462434138,0.41357671,0.195065375,0.173082817
